Order_ID,Date,Region,Salesperson,Category,Product,Channel,Units,Unit_Price,Revenue,Cost,Profit
ORD-104591,46023,North,Emily Chen,Electronics,Webcam,Online,1,113.65,113.65,68.81,44.84
ORD-104934,46023,East,Sarah Kim,Sports,Dumbbells,Online,6,77.82,466.92,295.06,171.86
ORD-104970,46023,North,Nina Patel,Clothing,Jacket,Store,4,88.38,353.52,195.61,157.91
ORD-100042,46024,South,Ana Lopez,Electronics,Headphones,Online,6,97.65,585.9,351.61,234.29
ORD-100130,46024,West,Tom Nguyen,Clothing,Jeans,Online,3,66.53,199.59,102.08,97.51
ORD-100267,46024,South,Chris Brown,Clothing,Jeans,Marketplace,6,65.85,395.1,205.92,189.18
ORD-100296,46024,South,Chris Brown,Sports,Fitness Tracker,Store,2,150.07,300.14,197.27,102.87
ORD-100643,46024,North,Emily Chen,Home,Blender,Marketplace,3,89.6,268.8,175.75,93.05
ORD-100926,46024,West,Rachel Green,Home,Coffee Maker,Online,2,126.18,252.36,161.06,91.3
ORD-101207,46024,North,Emily Chen,Sports,Fitness Tracker,Online,1,145.04,145.04,92.74,52.3
ORD-101260,46024,West,Jordan Smith,Home,Air Fryer,Store,6,158.27,949.62,656.42,293.2
ORD-101321,46024,South,Mike Davis,Electronics,Webcam,Online,2,112.06,224.12,134.16,89.96
ORD-101368,46024,East,David Lee,Clothing,Sneakers,Store,3,100.15,300.45,181.06,119.39
ORD-101518,46024,North,Nina Patel,Home,Air Fryer,Store,6,149.9,899.4,611.41,287.99
ORD-101682,46024,East,Marcus Reed,Electronics,Keyboard,Store,3,62.94,188.82,110.82,78
ORD-101760,46024,South,Ana Lopez,Home,Blender,Store,6,84.45,506.7,354.44,152.26
ORD-101767,46024,South,Mike Davis,Sports,Yoga Mat,Marketplace,6,37.71,226.26,108.97,117.29
ORD-102074,46024,South,Chris Brown,Clothing,Hoodie,Store,4,61.35,245.4,118.21,127.19
ORD-102576,46024,South,Chris Brown,Electronics,Keyboard,Store,4,62.04,248.16,149.38,98.78
ORD-102692,46024,East,David Lee,Home,Blender,Online,5,83.59,417.95,275.63,142.32
ORD-102930,46024,West,Jordan Smith,Clothing,Jeans,Store,1,74.77,74.77,38.35,36.42
ORD-103127,46024,West,Jordan Smith,Home,Vacuum,Marketplace,2,194.59,389.18,267.68,121.5
ORD-103338,46024,North,James Wilson,Sports,Dumbbells,Marketplace,5,78.51,392.55,245.76,146.79
ORD-103760,46024,North,Emily Chen,Clothing,Jeans,Online,5,64.48,322.4,163.43,158.97
ORD-104009,46024,South,Mike Davis,Clothing,Sneakers,Store,1,111.36,111.36,64.41,46.95
ORD-104126,46024,South,Ana Lopez,Home,Vacuum,Store,6,184.86,1109.16,778.73,330.43
ORD-104333,46024,East,Sarah Kim,Clothing,Hoodie,Online,4,63.39,253.56,124.93,128.63
ORD-104684,46024,West,Rachel Green,Sports,Running Shoes,Store,4,121.4,485.6,286.55,199.05
ORD-104775,46024,South,Mike Davis,Sports,Dumbbells,Online,3,81.85,245.55,147.8,97.75
ORD-104874,46024,East,David Lee,Clothing,Hoodie,Online,6,56.55,339.3,163.02,176.28
ORD-100081,46025,East,Sarah Kim,Sports,Fitness Tracker,Store,4,144.77,579.08,390.23,188.85
ORD-100658,46025,South,Ana Lopez,Sports,Running Shoes,Store,6,130,780,453.64,326.36
ORD-100729,46025,South,Chris Brown,Sports,Fitness Tracker,Store,6,134.25,805.5,511.33,294.17
ORD-101083,46025,West,Rachel Green,Sports,Running Shoes,Online,1,121.67,121.67,70.4,51.27
ORD-101204,46025,South,Chris Brown,Sports,Yoga Mat,Store,3,42.32,126.96,59.64,67.32
ORD-101235,46025,East,David Lee,Electronics,Keyboard,Online,6,62.65,375.9,214.91,160.99
ORD-101277,46025,West,Rachel Green,Sports,Dumbbells,Online,6,67.77,406.62,246.79,159.83
ORD-101293,46025,East,Sarah Kim,Electronics,Headphones,Marketplace,3,88.07,264.21,158.43,105.78
ORD-101336,46025,North,James Wilson,Sports,Fitness Tracker,Online,5,147.75,738.75,487.85,250.9
ORD-101408,46025,East,Sarah Kim,Clothing,Jeans,Online,3,64.48,193.44,97.33,96.11
ORD-101451,46025,West,Tom Nguyen,Electronics,Headphones,Online,3,87.12,261.36,161.88,99.48
ORD-101497,46025,West,Jordan Smith,Home,Vacuum,Store,1,187.48,187.48,126.23,61.25
ORD-101640,46025,East,Sarah Kim,Electronics,Webcam,Marketplace,1,116.56,116.56,71.87,44.69
ORD-101735,46025,West,Jordan Smith,Home,Air Fryer,Marketplace,4,139.55,558.2,370.65,187.55
ORD-101844,46025,West,Jordan Smith,Sports,Fitness Tracker,Marketplace,1,147.42,147.42,98.87,48.55
ORD-101993,46025,West,Rachel Green,Sports,Running Shoes,Marketplace,1,123.65,123.65,75.32,48.33
ORD-102458,46025,West,Jordan Smith,Electronics,Headphones,Online,4,84.8,339.2,216.43,122.77
ORD-102482,46025,South,Mike Davis,Electronics,Monitor,Online,3,262.44,787.32,550.98,236.34
ORD-102615,46025,East,Marcus Reed,Clothing,Jeans,Online,1,70.01,70.01,37.12,32.89
ORD-102766,46025,East,Sarah Kim,Electronics,Webcam,Store,5,117.67,588.35,366.07,222.28
ORD-102781,46025,West,Rachel Green,Home,Coffee Maker,Online,1,131.21,131.21,82.25,48.96
ORD-102916,46025,South,Chris Brown,Clothing,Hoodie,Online,5,54.17,270.85,131.17,139.68
ORD-103748,46025,East,Marcus Reed,Electronics,Webcam,Marketplace,4,104.88,419.52,249.87,169.65
ORD-103984,46025,East,David Lee,Electronics,Keyboard,Store,5,65.45,327.25,183.46,143.79
ORD-104447,46025,East,Sarah Kim,Clothing,Sneakers,Online,3,120.71,362.13,211.87,150.26
ORD-104528,46025,North,Nina Patel,Sports,Yoga Mat,Online,4,43.6,174.4,83.76,90.64
ORD-104650,46025,South,Ana Lopez,Sports,Yoga Mat,Marketplace,1,40.13,40.13,19.91,20.22
ORD-100156,46026,West,Jordan Smith,Clothing,Jacket,Store,3,90.06,270.18,150.32,119.86
ORD-100295,46026,East,Sarah Kim,Sports,Fitness Tracker,Store,2,128.54,257.08,168.64,88.44
ORD-100649,46026,West,Tom Nguyen,Electronics,Headphones,Online,3,81.53,244.59,157.59,87
ORD-100849,46026,North,Emily Chen,Clothing,Hoodie,Store,6,61.13,366.78,178.22,188.56
ORD-100915,46026,West,Tom Nguyen,Electronics,Monitor,Online,2,251.23,502.46,343.13,159.33
ORD-100973,46026,West,Jordan Smith,Home,Blender,Online,6,89.9,539.4,357.05,182.35
ORD-101059,46026,South,Chris Brown,Clothing,Jeans,Store,2,73.32,146.64,73.78,72.86
ORD-101114,46026,East,David Lee,Home,Vacuum,Store,4,180.24,720.96,512.43,208.53
ORD-101326,46026,West,Rachel Green,Electronics,Monitor,Marketplace,2,272.49,544.98,396.5,148.48
ORD-101360,46026,East,Marcus Reed,Sports,Fitness Tracker,Online,6,134.54,807.24,517.33,289.91
ORD-101429,46026,East,Sarah Kim,Home,Coffee Maker,Store,3,125.07,375.21,234.42,140.79
ORD-101460,46026,South,Ana Lopez,Clothing,Jacket,Online,5,86.63,433.15,242.01,191.14
ORD-101869,46026,West,Tom Nguyen,Clothing,Hoodie,Online,6,59.13,354.78,174.29,180.49
ORD-102355,46026,North,Nina Patel,Sports,Yoga Mat,Store,5,37.75,188.75,94.01,94.74
ORD-102374,46026,East,David Lee,Clothing,Hoodie,Store,3,61.57,184.71,95.16,89.55
ORD-102636,46026,South,Mike Davis,Electronics,Monitor,Online,3,231.86,695.58,503.7,191.88
ORD-102724,46026,North,Nina Patel,Sports,Yoga Mat,Store,3,40.39,121.17,59.38,61.79
ORD-102999,46026,East,Marcus Reed,Home,Vacuum,Online,1,204.51,204.51,137.1,67.41
ORD-103021,46026,West,Tom Nguyen,Sports,Running Shoes,Store,3,114.74,344.22,196.31,147.91
ORD-103167,46026,South,Mike Davis,Electronics,Headphones,Store,2,97.9,195.8,126.17,69.63
ORD-103326,46026,West,Rachel Green,Clothing,Jacket,Online,5,96.03,480.15,262.31,217.84
ORD-103378,46026,East,Marcus Reed,Sports,Fitness Tracker,Online,6,139.99,839.94,549.99,289.95
ORD-103453,46026,East,David Lee,Sports,Fitness Tracker,Online,5,140.86,704.3,460.8,243.5
ORD-103494,46026,North,Nina Patel,Electronics,Webcam,Marketplace,5,117.11,585.55,355.37,230.18
ORD-103807,46026,North,Emily Chen,Sports,Yoga Mat,Online,5,42.04,210.2,102.25,107.95
ORD-103923,46026,West,Jordan Smith,Home,Coffee Maker,Store,6,120.65,723.9,467.4,256.5
ORD-103985,46026,North,Emily Chen,Home,Vacuum,Store,3,198.87,596.61,416.13,180.48
ORD-104140,46026,East,Sarah Kim,Clothing,Jacket,Online,6,91.7,550.2,296.16,254.04
ORD-104249,46026,East,Marcus Reed,Home,Blender,Store,3,86.9,260.7,179.07,81.63
ORD-104290,46026,East,Marcus Reed,Sports,Fitness Tracker,Store,5,135.51,677.55,460.34,217.21
ORD-104466,46026,South,Mike Davis,Clothing,Hoodie,Store,3,58.31,174.93,86.58,88.35
ORD-104527,46026,East,Sarah Kim,Home,Blender,Marketplace,4,91.29,365.16,252.58,112.58
ORD-104624,46026,South,Chris Brown,Sports,Fitness Tracker,Online,3,149.21,447.63,283.91,163.72
ORD-104777,46026,North,James Wilson,Electronics,Webcam,Marketplace,4,101.68,406.72,246.85,159.87
ORD-104802,46026,West,Tom Nguyen,Electronics,Webcam,Online,5,113.71,568.55,353.2,215.35
ORD-104850,46026,South,Ana Lopez,Sports,Dumbbells,Online,5,70.64,353.2,221.83,131.37
ORD-100387,46027,West,Tom Nguyen,Clothing,Jacket,Marketplace,3,89.87,269.61,144.38,125.23
ORD-100480,46027,South,Mike Davis,Home,Air Fryer,Store,4,155.34,621.36,421.87,199.49
ORD-100768,46027,East,Sarah Kim,Sports,Fitness Tracker,Store,1,144.21,144.21,96.56,47.65
ORD-101218,46027,South,Mike Davis,Home,Air Fryer,Online,6,139.09,834.54,574.08,260.46
ORD-101928,46027,East,Marcus Reed,Clothing,Jeans,Online,5,71.67,358.35,185.33,173.02
ORD-102133,46027,South,Mike Davis,Home,Vacuum,Store,5,186.76,933.8,633.95,299.85
ORD-102265,46027,West,Jordan Smith,Home,Vacuum,Store,2,187.06,374.12,267.8,106.32
ORD-102343,46027,North,Emily Chen,Home,Coffee Maker,Store,4,121.63,486.52,321.24,165.28
ORD-102349,46027,West,Tom Nguyen,Home,Air Fryer,Online,3,162.11,486.33,318.7,167.63
ORD-102462,46027,West,Tom Nguyen,Sports,Dumbbells,Marketplace,2,80.17,160.34,99.73,60.61
ORD-102634,46027,South,Ana Lopez,Clothing,Hoodie,Store,6,56.35,338.1,174.65,163.45
ORD-102772,46027,West,Rachel Green,Home,Air Fryer,Marketplace,4,158.02,632.08,424.81,207.27
ORD-102965,46027,West,Jordan Smith,Home,Air Fryer,Online,6,153.62,921.72,622.81,298.91
ORD-102995,46027,West,Tom Nguyen,Home,Blender,Store,2,78.41,156.82,108.61,48.21
ORD-103118,46027,East,Marcus Reed,Home,Coffee Maker,Online,2,111.55,223.1,139.29,83.81
ORD-103350,46027,East,Sarah Kim,Home,Coffee Maker,Online,2,122.97,245.94,158.7,87.24
ORD-103783,46027,South,Ana Lopez,Clothing,Sneakers,Store,5,118.98,594.9,356.08,238.82
ORD-103935,46027,East,David Lee,Sports,Fitness Tracker,Store,2,143.06,286.12,182.13,103.99
ORD-103936,46027,North,Nina Patel,Electronics,Monitor,Store,3,225.15,675.45,465.26,210.19
ORD-103993,46027,West,Rachel Green,Clothing,Jacket,Store,3,90.33,270.99,147.9,123.09
ORD-104050,46027,East,Marcus Reed,Electronics,Headphones,Online,1,87.2,87.2,53.52,33.68
ORD-104280,46027,West,Jordan Smith,Home,Coffee Maker,Store,3,108.54,325.62,215.05,110.57
ORD-104289,46027,East,Sarah Kim,Home,Air Fryer,Store,4,141.39,565.56,369.21,196.35
ORD-104504,46027,West,Tom Nguyen,Home,Blender,Store,5,82.8,414,286.89,127.11
ORD-104581,46027,East,David Lee,Clothing,Sneakers,Store,2,99.73,199.46,122.53,76.93
ORD-104735,46027,North,James Wilson,Clothing,Sneakers,Store,5,112.25,561.25,346.44,214.81
ORD-104739,46027,South,Mike Davis,Home,Vacuum,Marketplace,6,171.27,1027.62,693.73,333.89
ORD-104821,46027,East,Sarah Kim,Electronics,Keyboard,Online,6,68.18,409.08,245.54,163.54
ORD-100495,46028,West,Rachel Green,Home,Coffee Maker,Online,5,114.92,574.6,375.14,199.46
ORD-100596,46028,East,Sarah Kim,Home,Coffee Maker,Store,4,131.09,524.36,341.14,183.22
ORD-100942,46028,West,Jordan Smith,Home,Air Fryer,Store,2,148.04,296.08,203.19,92.89
ORD-101535,46028,North,Nina Patel,Sports,Fitness Tracker,Online,5,148.92,744.6,502.16,242.44
ORD-101663,46028,South,Ana Lopez,Clothing,Sneakers,Marketplace,5,120.36,601.8,367.66,234.14
ORD-101684,46028,South,Ana Lopez,Clothing,Sneakers,Online,4,112.9,451.6,267.11,184.49
ORD-101828,46028,South,Mike Davis,Electronics,Headphones,Online,3,84.48,253.44,158.79,94.65
ORD-101919,46028,North,Nina Patel,Electronics,Monitor,Marketplace,6,246.79,1480.74,1023.93,456.81
ORD-102235,46028,North,James Wilson,Electronics,Monitor,Online,3,225.2,675.6,486.05,189.55
ORD-102296,46028,East,Marcus Reed,Sports,Dumbbells,Online,2,68.11,136.22,82.62,53.6
ORD-102912,46028,South,Chris Brown,Home,Air Fryer,Store,4,139.05,556.2,383.17,173.03
ORD-102948,46028,North,Nina Patel,Home,Coffee Maker,Marketplace,2,114.91,229.82,149.37,80.45
ORD-103170,46028,West,Rachel Green,Electronics,Monitor,Store,2,236.31,472.62,335.17,137.45
ORD-103177,46028,South,Chris Brown,Clothing,Hoodie,Store,2,55.68,111.36,55.79,55.57
ORD-103222,46028,West,Rachel Green,Clothing,Jacket,Store,5,95.31,476.55,267.76,208.79
ORD-103383,46028,South,Ana Lopez,Clothing,Jeans,Online,1,65.91,65.91,35.46,30.45
ORD-103689,46028,West,Tom Nguyen,Electronics,Headphones,Store,4,88.48,353.92,221.21,132.71
ORD-103691,46028,South,Chris Brown,Electronics,Monitor,Store,2,258.79,517.58,363,154.58
ORD-103850,46028,West,Tom Nguyen,Sports,Fitness Tracker,Store,3,134.26,402.78,265.32,137.46
ORD-104404,46028,South,Chris Brown,Clothing,Jeans,Store,1,67.85,67.85,36.31,31.54
ORD-104423,46028,North,Emily Chen,Clothing,Hoodie,Store,4,62.13,248.52,120.43,128.09
ORD-104509,46028,North,Nina Patel,Clothing,Jacket,Store,1,101.27,101.27,56.08,45.19
ORD-104724,46028,North,Nina Patel,Clothing,Hoodie,Online,6,62.16,372.96,181.24,191.72
ORD-104736,46028,North,James Wilson,Electronics,Webcam,Online,1,107.94,107.94,66.13,41.81
ORD-104764,46028,East,Sarah Kim,Clothing,Sneakers,Online,5,109.97,549.85,330.95,218.9
ORD-104937,46028,East,David Lee,Home,Vacuum,Marketplace,1,171.4,171.4,116.44,54.96
ORD-100308,46029,South,Mike Davis,Electronics,Keyboard,Store,5,66.33,331.65,197.85,133.8
ORD-100363,46029,South,Chris Brown,Clothing,Jacket,Online,3,95.18,285.54,157.14,128.4
ORD-100394,46029,West,Jordan Smith,Electronics,Keyboard,Store,6,69.81,418.86,246.8,172.06
ORD-100669,46029,East,Sarah Kim,Electronics,Webcam,Marketplace,6,100.02,600.12,367.56,232.56
ORD-100759,46029,North,Nina Patel,Electronics,Webcam,Online,2,104.52,209.04,123.89,85.15
ORD-100935,46029,South,Ana Lopez,Sports,Yoga Mat,Marketplace,2,40.14,80.28,37.79,42.49
ORD-101087,46029,South,Ana Lopez,Sports,Yoga Mat,Store,6,36.52,219.12,103.69,115.43
ORD-101144,46029,North,Nina Patel,Electronics,Webcam,Store,5,111,555,341.4,213.6
ORD-101219,46029,South,Chris Brown,Clothing,Jeans,Store,2,63.53,127.06,64.47,62.59
ORD-101287,46029,East,David Lee,Electronics,Webcam,Online,5,111.05,555.25,338.37,216.88
ORD-101352,46029,South,Mike Davis,Sports,Dumbbells,Online,6,71.61,429.66,254.91,174.75
ORD-101362,46029,West,Rachel Green,Electronics,Monitor,Store,4,273.12,1092.48,764.36,328.12
ORD-101655,46029,South,Ana Lopez,Home,Vacuum,Online,5,185.54,927.7,658.84,268.86
ORD-101812,46029,East,David Lee,Clothing,Jeans,Online,6,63.49,380.94,192.43,188.51
ORD-102033,46029,West,Tom Nguyen,Electronics,Keyboard,Store,2,63.18,126.36,75.76,50.6
ORD-102158,46029,South,Mike Davis,Home,Coffee Maker,Online,5,118.27,591.35,383.06,208.29
ORD-102323,46029,East,Sarah Kim,Clothing,Sneakers,Store,1,116.75,116.75,67.7,49.05
ORD-102487,46029,East,David Lee,Electronics,Headphones,Online,4,86.86,347.44,222.84,124.6
ORD-102598,46029,North,Nina Patel,Electronics,Webcam,Marketplace,4,113,452,263.39,188.61
ORD-102635,46029,East,Sarah Kim,Sports,Yoga Mat,Online,2,40.5,81,39.9,41.1
ORD-102685,46029,West,Jordan Smith,Home,Air Fryer,Store,6,164.81,988.86,650.79,338.07
ORD-102709,46029,East,David Lee,Clothing,Sneakers,Online,3,102.46,307.38,188.4,118.98
ORD-102722,46029,North,Emily Chen,Clothing,Hoodie,Online,3,61.33,183.99,93.39,90.6
ORD-102870,46029,West,Rachel Green,Home,Vacuum,Online,6,186.39,1118.34,761.51,356.83
ORD-102983,46029,North,James Wilson,Sports,Running Shoes,Store,6,117.89,707.34,416.46,290.88
ORD-103130,46029,East,Marcus Reed,Home,Coffee Maker,Store,1,123.42,123.42,75.95,47.47
ORD-103131,46029,South,Ana Lopez,Home,Air Fryer,Online,6,136.54,819.24,548.71,270.53
ORD-103204,46029,East,David Lee,Home,Blender,Marketplace,5,89.28,446.4,312.91,133.49
ORD-103255,46029,South,Mike Davis,Electronics,Webcam,Marketplace,1,99.59,99.59,59,40.59
ORD-103364,46029,West,Rachel Green,Sports,Dumbbells,Store,6,69.57,417.42,258.31,159.11
ORD-103548,46029,North,Nina Patel,Electronics,Webcam,Online,5,101.07,505.35,307.29,198.06
ORD-103659,46029,West,Jordan Smith,Sports,Yoga Mat,Store,3,39.73,119.19,58.89,60.3
ORD-103705,46029,South,Mike Davis,Electronics,Monitor,Online,1,247.62,247.62,179.07,68.55
ORD-103930,46029,South,Chris Brown,Sports,Running Shoes,Store,5,123.96,619.8,356.13,263.67
ORD-104008,46029,North,Nina Patel,Electronics,Keyboard,Store,1,67.6,67.6,38,29.6
ORD-104406,46029,South,Chris Brown,Electronics,Monitor,Marketplace,6,263.9,1583.4,1067.13,516.27
ORD-104530,46029,North,Emily Chen,Electronics,Monitor,Store,4,228.9,915.6,627.86,287.74
ORD-104744,46029,North,James Wilson,Clothing,Hoodie,Online,1,58.47,58.47,28.23,30.24
ORD-100168,46030,North,Emily Chen,Clothing,Jeans,Store,2,70.06,140.12,74.32,65.8
ORD-100578,46030,North,Nina Patel,Clothing,Jeans,Marketplace,1,69.73,69.73,35.56,34.17
ORD-100613,46030,East,Marcus Reed,Sports,Fitness Tracker,Marketplace,2,142.93,285.86,182.39,103.47
ORD-100793,46030,North,James Wilson,Sports,Running Shoes,Store,4,123.87,495.48,287.37,208.11
ORD-101054,46030,South,Chris Brown,Sports,Dumbbells,Online,4,68.69,274.76,173.73,101.03
ORD-101069,46030,North,James Wilson,Home,Coffee Maker,Store,6,129.99,779.94,501.16,278.78
ORD-101123,46030,West,Rachel Green,Electronics,Monitor,Marketplace,2,262.06,524.12,370.2,153.92
ORD-101135,46030,South,Mike Davis,Electronics,Keyboard,Store,3,65.18,195.54,114.3,81.24
ORD-101459,46030,East,David Lee,Electronics,Headphones,Online,3,88.51,265.53,158.08,107.45
ORD-101623,46030,East,David Lee,Home,Coffee Maker,Online,6,110.57,663.42,435.64,227.78
ORD-101631,46030,East,Sarah Kim,Sports,Yoga Mat,Marketplace,4,42,168,82.37,85.63
ORD-101673,46030,North,Emily Chen,Home,Air Fryer,Store,1,154.55,154.55,104.49,50.06
ORD-101725,46030,South,Mike Davis,Clothing,Jeans,Online,1,63.6,63.6,33.22,30.38
ORD-101916,46030,East,David Lee,Clothing,Sneakers,Online,1,116.69,116.69,68.53,48.16
ORD-102205,46030,West,Rachel Green,Sports,Fitness Tracker,Marketplace,4,148.49,593.96,383.2,210.76
ORD-102263,46030,South,Mike Davis,Electronics,Headphones,Marketplace,6,93.51,561.06,348.77,212.29
ORD-102538,46030,South,Mike Davis,Home,Coffee Maker,Online,6,111.25,667.5,421.38,246.12
ORD-102668,46030,West,Tom Nguyen,Clothing,Jacket,Store,2,103.77,207.54,109.8,97.74
ORD-102858,46030,South,Mike Davis,Sports,Fitness Tracker,Online,1,142.74,142.74,93.57,49.17
ORD-103209,46030,East,Sarah Kim,Electronics,Monitor,Store,6,257.18,1543.08,1081.79,461.29
ORD-103439,46030,East,David Lee,Electronics,Webcam,Store,5,108.3,541.5,317.46,224.04
ORD-103442,46030,East,Marcus Reed,Electronics,Webcam,Marketplace,2,113.98,227.96,137,90.96
ORD-103587,46030,East,Sarah Kim,Home,Coffee Maker,Marketplace,5,131.83,659.15,419.41,239.74
ORD-103834,46030,East,Marcus Reed,Electronics,Headphones,Online,2,87.59,175.18,111.85,63.33
ORD-104397,46030,West,Rachel Green,Electronics,Monitor,Online,4,265.33,1061.32,753.07,308.25
ORD-104450,46030,South,Mike Davis,Home,Coffee Maker,Online,5,118.35,591.75,376.55,215.2
ORD-104541,46030,West,Jordan Smith,Home,Air Fryer,Marketplace,4,147.61,590.44,401,189.44
ORD-104618,46030,East,David Lee,Electronics,Keyboard,Online,4,60.88,243.52,146.35,97.17
ORD-104732,46030,East,David Lee,Clothing,Jacket,Store,2,88.57,177.14,95.53,81.61
ORD-104959,46030,North,Emily Chen,Clothing,Sneakers,Store,6,119.82,718.92,430.25,288.67
ORD-104997,46030,South,Ana Lopez,Home,Blender,Store,5,78.58,392.9,263.42,129.48
ORD-100326,46031,South,Mike Davis,Electronics,Headphones,Store,6,88.56,531.36,321.22,210.14
ORD-100362,46031,West,Jordan Smith,Clothing,Jeans,Store,4,72.67,290.68,145.31,145.37
ORD-100566,46031,West,Tom Nguyen,Sports,Running Shoes,Online,1,120.39,120.39,68.93,51.46
ORD-100890,46031,South,Mike Davis,Electronics,Webcam,Online,3,108.95,326.85,195.07,131.78
ORD-101115,46031,North,James Wilson,Electronics,Keyboard,Online,5,64.78,323.9,183.7,140.2
ORD-101312,46031,West,Tom Nguyen,Electronics,Monitor,Online,3,245.05,735.15,534.52,200.63
ORD-101390,46031,South,Ana Lopez,Sports,Yoga Mat,Online,2,40.86,81.72,40.61,41.11
ORD-101581,46031,South,Ana Lopez,Electronics,Keyboard,Online,2,62.99,125.98,75.4,50.58
ORD-101691,46031,East,Sarah Kim,Clothing,Jacket,Online,3,101.86,305.58,168.41,137.17
ORD-101724,46031,South,Chris Brown,Sports,Yoga Mat,Online,2,37.35,74.7,37.19,37.51
ORD-101949,46031,East,Sarah Kim,Sports,Running Shoes,Online,1,130.98,130.98,76.7,54.28
ORD-102126,46031,West,Jordan Smith,Home,Blender,Store,1,76.68,76.68,53.25,23.43
ORD-102532,46031,East,David Lee,Home,Air Fryer,Online,5,156.01,780.05,514.43,265.62
ORD-103406,46031,North,James Wilson,Clothing,Jacket,Online,4,99.98,399.92,219.65,180.27
ORD-103866,46031,East,Sarah Kim,Electronics,Monitor,Store,5,264.67,1323.35,945.09,378.26
ORD-104255,46031,East,David Lee,Clothing,Sneakers,Marketplace,3,100.95,302.85,185.81,117.04
ORD-104286,46031,South,Chris Brown,Clothing,Sneakers,Online,6,106.64,639.84,381.48,258.36
ORD-104733,46031,North,James Wilson,Sports,Dumbbells,Online,3,75.36,226.08,135.94,90.14
ORD-104809,46031,East,Sarah Kim,Clothing,Jeans,Marketplace,3,66.51,199.53,104.78,94.75
ORD-104926,46031,West,Tom Nguyen,Sports,Fitness Tracker,Online,6,138.09,828.54,552.39,276.15
ORD-104989,46031,North,Emily Chen,Clothing,Jacket,Online,1,99.38,99.38,54.25,45.13
ORD-100119,46032,East,David Lee,Sports,Fitness Tracker,Store,2,141.5,283,185.23,97.77
ORD-100311,46032,East,David Lee,Home,Blender,Online,1,86.12,86.12,58.16,27.96
ORD-100872,46032,South,Ana Lopez,Electronics,Keyboard,Online,4,69.48,277.92,165.52,112.4
ORD-101215,46032,East,David Lee,Electronics,Webcam,Online,5,112.17,560.85,341.38,219.47
ORD-101458,46032,South,Chris Brown,Clothing,Jacket,Store,3,98.83,296.49,163.96,132.53
ORD-101667,46032,North,Emily Chen,Clothing,Hoodie,Store,4,64.67,258.68,128.89,129.79
ORD-102213,46032,West,Rachel Green,Electronics,Headphones,Online,4,97.13,388.52,244.88,143.64
ORD-102746,46032,West,Jordan Smith,Clothing,Jeans,Online,6,66.25,397.5,198.92,198.58
