customer_id,full_name,email,phone,state,gender,signup_date,total_spent,loyalty_status
CUST-75628,Joshua Conner,,305.555.6300,Florida,male,03/22/2023,,GOLD
USR-4662X,Mr. Russell Gomez,RBURTON@ROBINSON-WRIGHT.NET,5020846325,Florida,F,2024-07-13,,gold
CUST-74344,KEVIN DOWNS,DUARTECHRISTOPHER@YAHOO.COM,(305)-555-2042,FL,Female,01/01/1970,-25.0,silver
ACC-26115,Matthew Gutierrez,,(305)-555-7317,Florida,Female,2025-14-01,-25.0,GOLD
CRM-9903, pamela acevedo ,davisandregmail.com,305.555.8803,FL ,Male,2006/11/08,,gold
USR-3738X,Amy Jackson,hhayes@hotmail.com,(305)-555-9072,texas,Male,2025-14-01,74.79, Platinum
ACC-49944,David Williams,,5836833799,Nevada,Unknown,1974/05/07,-25.0,Gold
CUST-77805,Kenneth Raymond,,903-257-2088x65395,ca,M,2010-10-18,,Gold
CRM-9270,John Gray,josephsnydergmail.com,8581373103,NY,M,1971/04/29,905.03,Gold
CX-836030,Kenneth Mccullough,BONNIE53@GORDON.COM,001-938-326-7749x84092,TX,F,2025-14-01,,silver
CRM-5021,JASMINE GOODWIN,,305.555.4829,fl,M,2016-02-02,82.72,Silver 
CX-619247,ANTONIO CLARKE,, ,Nevada,M,2025-14-01,-25.0,bronze
CRM-8803,JULIA DANIEL,raverygmail.com,1859685914,Florida,Male,2010-12-12,404.29,bronze
USR-3590X,Anna Alvarado,singhtina@gmail.com,1921466829,ca,M,2025-03-32,,bronze
CX-369405,David Osborn,xwolfe@gmail,8860502131,Nevada,F,1998-04-02,-25.0, Platinum
CX-958334, michele ford ,,2705100759,texas,Male,1987/07/01,, Platinum
ACC-80215,Ryan Pace,smithjoshua@gmail, ,TX,F,2007/12/09,995.42,GOLD
ACC-97282,Susan Jensen,travis95@gmail,(305)-555-8712,NY,male,2025-03-32,,bronze
CX-946746,Kimberly Hunter,justinmiller@hotmail.com,+1-258-170-8306x5985,NY,M,2012/08/04,,gold
CX-512383,Bobby Greene,XRAMIREZ@YAHOO.COM, ,texas,Female,1994/03/10,,Gold
ACC-10540, cassandra neal ,icarey@gmail.com, ,texas,M,2025-03-32,-25.0,GOLD
CRM-7202,Marilyn Velez,MICHAEL51@GMAIL.COM,(305)-555-8505,California,F,1972/01/16,128.06,Silver 
USR-8669X,Perry Carpenter,tsnyder@gmail,(305)-555-8338,new york,male,1970/11/17,, Platinum
CX-415893,Stephanie Brown,,(305)-555-8778,FL ,male,2025-03-32,870.1,Gold
ACC-13218, makayla leonard ,leejennifer@smith.com,+1-662-472-0065,new york,FEMALE,2025-14-01,-25.0,gold
CX-838278,STEVEN KING,CASTROCASSIDY@YAHOO.COM,2725279703,FL,Unknown,2025-14-01,,Gold
ACC-48959,Amber Edwards,reynoldschristophergmail.com, ,Florida,Unknown,2025-14-01,,bronze
ACC-92412, tami gonzales ,william77gmail.com,305.555.4233,California,Male,2025-14-01,,Silver 
CUST-90019,Anna Navarro,,(305)-555-7030,California,F,2004-05-23,,Gold
CUST-29758,Elizabeth Johnson,stevenrobinson@robinson-davila.com, ,NY,FEMALE,2025/12/05,, Platinum
CX-571551,David Anderson,priscilla39@gmail.com,(305)-555-2896,texas,Female,08/04/1993,-25.0,Gold
CUST-63449,AMANDA GILES,,3229166030,fl,male,2010-03-08,,bronze
CUST-99060, victor klein ,,3136570412,NY,male,2015-08-19,,GOLD
CRM-7793,Scott Coleman DDS,DAVIDHAMMOND@HOTMAIL.COM, ,texas,M,2025-14-01,,Silver 
CRM-4991,Laura Ellis,,1070717574,Nevada,male,1998/10/21,-25.0, Platinum
CRM-4586,George Howard,barbaraguerra@gmail,2680544561,new york,Unknown,2003-11-25,-25.0,Silver 
ACC-51616,CHARLES WHITE,KRISTINHERNANDEZ@LOPEZ.COM,(305)-555-7464,FL ,female,2025-03-32,,Gold
CX-635644,Daniel Palmer,vhayden@gmail,305.555.7600,new york,F,1999-06-16,,silver
CX-225117,Meghan Schwartz,smillergmail.com,305.555.3501,new york,M,2020-09-10,,silver
CUST-36682,David Richards,,305.555.4718,new york,female,2022/03/31,-25.0,silver
ACC-48365, matthew salas ,,(305)-555-8713,FL,male,2025-03-32,,GOLD
ACC-90048,Brandon Ortega,harristhomas@james.com, ,Florida,Male,1976-02-11,922.03,GOLD
USR-3375X,Rebecca Valdez,jsmith@gmail,305.555.2725,fl,F,09/10/1987,,silver
ACC-44499, joan brown ,jesussmithgmail.com,(305)-555-7643,FL ,Female,2025-14-01,15.02,bronze
CX-186630,LAURA TUCKER,moranmichael@gmail,305.555.7938,Florida,female,12/02/1992,930.5,GOLD
CRM-7067,Jason Brennan,,7805187153,fl,F,06/23/2015,,GOLD
USR-5455X, steven smith ,,305.555.9456,FL ,Male,2009/03/26,63.88,gold
CRM-9425,LINDSAY DURAN,andrew98gmail.com,001-889-554-0304x0117,Nevada,M,06/09/2006,,Gold
CX-932384,Charles Brown,christopherriley@hotmail.com,305.555.4923,California,male,2025-03-32,,Gold
USR-9259X,Tammy Berry,briveragmail.com, ,Florida,F,2025-14-01,681.29,Silver 
CX-508487,JUSTIN JOHNSTON,denise12gmail.com,305.555.9594,TX,Unknown,1977-12-18,,Silver 
USR-5976X, preston pearson ,,(305)-555-4582,new york,M,03/20/1988,198.99,GOLD
CUST-46697,Robert Friedman,richthomas@hotmail.com, ,texas,male,2025-03-32,-25.0,gold
CRM-7112,James Parker,christopherlewis@yahoo.com, ,Nevada,Male,05/19/2001,528.34,gold
USR-4791X, adam riley ,BRADLEY15@MARTINEZ.COM,9354418053,TX,Unknown,2005/06/12,,GOLD
CRM-4266,JOHN BOYER,,305.555.6515,TX,FEMALE,2025-14-01,-25.0,Gold
CRM-9475,Sarah Gamble,,(305)-555-5404,Florida,FEMALE,2008/03/17,-25.0,Gold
USR-1778X, wendy chambers ,BRITTNEYENGLISH@GMAIL.COM,305.555.1084,fl,F,2023/01/04,243.96,silver
ACC-72016, james petersen ,, ,fl,Female,05/26/2016,-25.0,silver
CX-534971, elizabeth patterson ,jade88@gmail,001-855-976-1801x4523,TX,Unknown,2025-03-32,997.39,silver
CX-578301,Denise Jenkins,,(305)-555-9782,FL,F,10/05/2014,-25.0,Gold
CX-787730,John Valenzuela,johncalhoun@yahoo.com,305.555.6571,fl,Male,2025-14-01,,Silver 
CX-143757,Melissa Webb,denisewoodgmail.com,436-539-5908x8506,FL,FEMALE,2025-14-01,561.33,Gold
ACC-83733,Kristen Banks,hardingtimothygmail.com,723-418-6660,NY,male,2025-14-01,115.94,GOLD
ACC-47229,BRENDA FOSTER,DEBORAH29@ORR.COM,305.555.6958,TX,Unknown,2025-14-01,-25.0, Platinum
CRM-8839, nichole solomon ,,305.555.8840,Florida,FEMALE,2025-14-01,149.99,Gold
CX-340333,David Ashley,RALPH42@CONLEY.INFO,305.555.5125,texas,Unknown,2025-14-01,-25.0,silver
USR-6617X, larry rhodes ,adamperez@gmail,305.555.5921,FL,F,2015-09-25,,silver
CX-471934, susan baird ,courtney42gmail.com,5486250191,FL ,M,1977/09/16,,gold
CRM-9780, victor moore ,,(305)-555-2750,NY,female,2025-14-01,-25.0, Platinum
CRM-9344,REBECCA TAYLOR,,1928936708,NY,Unknown,2025-03-32,89.69,silver
USR-6880X, james lee ,BRANDONMARTINEZ@YAHOO.COM,305.555.9659,Nevada,FEMALE,2025-14-01,-25.0,gold
ACC-16102,Daniel Beck,xcobb@ramirez.com,305.555.4752,fl,Unknown,2025-03-32,-25.0,gold
ACC-59160,Alicia Montgomery,sarah55@weaver.com,(305)-555-6324,new york,Male,1988/07/21,711.83, Platinum
CX-157819,Lauren Williamson,bonnie42@williams-gibbs.com, ,FL,F,2019/11/24,,gold
CRM-2404, michelle vaughan ,hwisegmail.com, ,texas,F,2025-03-32,, Platinum
CUST-88628, jessica macias ,grant41@hotmail.com, ,California,Unknown,1981/10/07,-25.0,Gold
CUST-28809, kathy bruce ,, ,texas,Female,2025-14-01,,Silver 
CRM-1841,VICTORIA RAMOS,TYLERPEARSON@BROWN.COM,5266391115,FL,F,08/24/1987,751.02,GOLD
USR-8896X,JAMES ROMERO,,453-418-6804x17189,Nevada,Female,2025-03-32,-25.0,Gold
CRM-6479,SHERRY RUSSO,jonathan55@morales.com,8952486576,FL,female,2006/05/02,-25.0,silver
CUST-93211,Mary Hamilton,craigjared@garcia-burns.com,(305)-555-7219,California,male,2025-14-01,,Gold
USR-2548X,Kevin Mcmillan,,(305)-555-8591,fl,female,1990-01-21,,bronze
CUST-74637,Felicia Mcdonald,rwall@gmail,2772501732,ca,Female,2024-11-04,-25.0, Platinum
USR-9591X,Kelly Soto,kellymillergmail.com,(366)221-5830x609,Nevada,F,2019/01/02,,Silver 
ACC-63729,DEBORAH RIDDLE,MGALVAN@GMAIL.COM,305.555.4317,fl,Male,1982/05/03,285.31,bronze
ACC-42914, tammy howell ,RACHELPETERSON@AGUILAR.COM,(305)-555-5821,texas,Male,1987-12-30,,bronze
ACC-50348,JOHN MARTINEZ,joseph32gmail.com,(305)-555-9247,texas,FEMALE,1993-05-02,,silver
CX-262995, jon williams ,kellywilliams@gmail,9456198037,Nevada,male,1979-10-07,,bronze
CUST-34059, cathy juarez ,,(305)-555-9168,FL ,F,2025-14-01,,silver
CX-131827, sonia michael ,,897.222.9766,NY,Male,2007/05/09,,gold
CX-338057,Regina Wells,BRADYKEY@MYERS.COM,305.555.6524,Nevada,Male,2025-03-32,,Silver 
ACC-70183,RODNEY GARDNER MD,,305.555.3388,NY,FEMALE,1986/08/09,-25.0,Gold
CRM-7969,JEREMY YOUNG,,7586402873,TX,male,2025-03-32,, Platinum
USR-9387X,Daniel Castaneda,thomas51gmail.com, ,FL,Unknown,2025-03-32,,GOLD
CUST-91108,Joe Brock,,305.555.4411,FL ,M,2003-03-15,-25.0,Gold
CX-706300,SARAH TAYLOR,,202.725.4144x027,ca,M,2025-14-01,411.89,bronze
CRM-1530,Amy Bright,,2513016860,ca,Male,2025-03-32,-25.0,Gold
CRM-3828,Todd Jackson,CROSSMICHAEL@HOPKINS-WATKINS.COM,(649)744-3525x6043,TX,Female,2025-14-01,-25.0, Platinum
ACC-35886,IAN WHITAKER,,6023146810,Nevada,Male,2007/08/08,477.95,gold
CRM-1672,John Mcfarland,,5502288295,ca,Unknown,2025-03-32,,Gold
CRM-3911,Jennifer Rocha,williamsdeborahgmail.com, ,FL,Unknown,2024/09/15,-25.0, Platinum
CRM-6171,VICKIE LANE,icox@yahoo.com, ,Nevada,Unknown,1997/03/26,, Platinum
ACC-20895,Ashley Johnston,lopezkimberlygmail.com,703-917-3893,FL,Male,2025-14-01,,Silver 
CX-831302,DAVID THOMAS,fritzdana@gmail,305.555.9059,ca,Male,2001/05/13,,GOLD
CX-143853,JESSICA SINGLETON,masonjoshuagmail.com,2739681519,FL ,male,2020/05/03,, Platinum
CX-272155,Darren Nixon,fordrachel@gmail.com,001-524-377-8570x2091,FL,Female,2000-05-18,-25.0,Silver 
ACC-78635,Stacy Peterson,JONATHANMURPHY@CRANE-WILLIAMS.COM,305.555.7744,California,female,2025-14-01,,Silver 
CUST-73600,Sherry Mccoy,jellison@gmail,305.555.9379,NY,Unknown,11/11/1989,,gold
CUST-50583,Angela Robinson,cory32@bauer.com,(251)237-5183x85347,California,female,2025-03-32,84.16,Gold
CUST-74258,Veronica Mora,moorekeithgmail.com,(916)048-2254,fl,male,2025-03-32,-25.0, Platinum
CX-497235, kelly dodson ,,(305)-555-5505,texas,female,2025-03-32,,bronze
CRM-2859,John Vasquez,,(305)-555-9106,texas,F,2013/09/05,-25.0,Silver 
ACC-72638,COURTNEY BOWERS,danajohnson@roberson.com,9513041383,California,FEMALE,2025-03-32,-25.0,gold
CUST-83305,Katherine Johnson,kwheelergmail.com, ,NY,male,2025-03-32,-25.0,Gold
USR-5308X, heather thomas ,lvargasgmail.com,(305)-555-5735,California,FEMALE,03/24/2026,-25.0,bronze
CRM-4772,Natalie Robertson,joseph85gmail.com,305.555.8677,California,Male,2025-14-01,-25.0,Silver 
CRM-2358, bradley acosta ,stevenmitchellgmail.com,(305)-555-8849,Nevada,Female,2025-14-01,,GOLD
USR-3956X, david horne ,thomas78gmail.com,5161998894,new york,Male,1972/09/05,,Silver 
USR-3031X,Joshua Hayes,robinsoncarmengmail.com,(305)-555-9523,fl,Female,2001-08-19,401.29,Silver 
CUST-51997,John Davis,,8666120972,ca,FEMALE,1992/03/28,-25.0,silver
USR-3376X, mark miller ,,+1-257-962-0139x28973,Nevada,female,1995/04/11,, Platinum
ACC-40448, adrienne butler ,WILKINSONCHRISTINA@HOTMAIL.COM,(305)-555-7585,FL ,Female,2025-03-32,,bronze
USR-6029X,Glenda Nelson,qperez@hotmail.com, ,Nevada,female,2025-03-32,,GOLD
CUST-53144, james perez ,robert24gmail.com,(305)-555-1463,FL ,Unknown,1983/07/03,477.97,gold
CX-911286, shannon guzman md ,,305.555.5054,new york,Male,2025-14-01,282.61,bronze
USR-2084X,Mary Kennedy,cisnerosjeffrey@gmail, ,Nevada,Female,03/20/1988,,silver
CUST-93793,Emily Harper,carmen68gmail.com,001-576-468-4055x3668,FL,F,01/21/1992,,GOLD
ACC-58168,Annette Ballard,johnboyd@hotmail.com,+1-715-920-6681x91609,NY,female,2013-02-27,-25.0,Silver 
CRM-8144, jennifer adams ,, ,texas,FEMALE,1980/01/17,-25.0,silver
ACC-80817,RICHARD LI,,+1-888-556-6228x8261,NY,Unknown,05/09/2007,,GOLD
ACC-83886, caitlin stewart ,,305.555.1232,ca,female,2025-14-01,,gold
CUST-63785, julie jimenez ,kfernandezgmail.com,(305)-555-4259,new york,male,10/06/2003,,gold
USR-1029X, isabel hancock ,gsullivan@hotmail.com,(305)-555-3098,FL,Unknown,2025-14-01,,Gold
USR-6484X, kristin houston ,UBROWNING@LEE.COM, ,Nevada,male,2025-03-32,,gold
CRM-8796,WALTER SALAS,daniel27@rogers.org,8241037294,fl,Unknown,2025-03-32,,gold
ACC-42230, william anderson ,leechristophergmail.com,952-357-6943,TX,F,1989/07/13,,Gold
USR-1026X, dawn herrera ,,(305)-555-6149,FL ,Female,2004-01-16,384.44,Silver 
CUST-12251,Tanya Medina,sylvia53@travis-fields.com, ,fl,male,2025-03-32,, Platinum
ACC-75846,James Rios,richardwrightgmail.com,1641705167,California,Female,2025-03-32,,bronze
ACC-29130, jeffrey clark ,DKRUEGER@GMAIL.COM, ,FL,male,2025-03-32,,GOLD
CX-994475,COREY POPE,gutierrezbryan@fritz.com, ,ca,M,2025-14-01,,Silver 
CRM-8009,KRISTEN STEWART,JOYCEGONZALEZ@YAHOO.COM,0064066185,texas,Unknown,2018-06-06,-25.0,GOLD
CRM-8262, amanda wilson ,KWARREN@HOTMAIL.COM,549-129-1446x061,TX,Female,2025-03-32,,Silver 
ACC-20857,Dana Lloyd,,6348994206,ca,Male,2025-03-32,487.5,Silver 
CRM-7885,Michael Wood,,001-376-992-5786,Nevada,Male,2025-03-32,,Gold
CX-384171,Tina Murphy,mpiercegmail.com,+1-232-317-0713x4540,Florida,Unknown,1991/03/08,, Platinum
CUST-67416,Christine Ferguson,,(305)-555-1073,texas,Male,2025-14-01,,Silver 
CRM-6463,Michele Reynolds,davisjoshua@fitzpatrick.com,856.626.3755x306,texas,female,02/10/1978,,Gold
CRM-2943, judy yang ,jamesgilbert@jensen-sullivan.com,(305)-555-5003,new york,male,1985/07/17,,GOLD
ACC-18541,JESSICA JOHNSON,fcarpentergmail.com,9817234044,new york,FEMALE,2012/12/16,,Gold
USR-9036X,Laura Thompson,,305.555.8134,Nevada,male,12/21/1977,, Platinum
CX-894664,Jeanette Walton,,(305)-555-4971,California,Male,1995-11-06,-25.0,Silver 
CUST-61658,Ashley Johnson,wbecker@hutchinson.org,(753)738-8825,California,M,1993/08/31,362.25,silver
ACC-97382,Dawn Melendez,benjamingomez@gmail,(305)-555-6018,new york,male,05/18/1985,,silver
CX-461778, john roberts ,jenniferpratt@allen.info,(305)-555-9248,Nevada,Female,2025-14-01,935.91,Silver 
USR-5667X, lori foley ,,229.080.5831,new york,Female,2025-14-01,-25.0,bronze
CX-430309,Jennifer Garcia,sheaethan@gmail,(305)-555-5117,TX,Unknown,2025-14-01,,silver
CUST-39233,Veronica Jenkins,nvancegmail.com, ,ca,Unknown,2015/05/14,42.77,silver
CRM-5916, carolyn gordon ,greerjohn@gmail,(305)-555-7211,Nevada,male,2008-03-07,,GOLD
CX-572171,SCOTT MATTHEWS,,4495023706,new york,F,2025-14-01,,gold
ACC-38435,Jennifer Moreno,amoreno@yahoo.com,0017715575,ca,Female,03/16/2023,-25.0,gold
ACC-69348,Charles White,, ,FL,Male,2019/07/04,,Silver 
CUST-80491, jacob callahan ,OGUTIERREZ@BROWNING-ANTHONY.INFO,305.555.9044,Nevada,F,09/10/1977,,gold
USR-6433X, susan cannon ,, ,new york,female,2025-14-01,572.58,Silver 
ACC-55338,DAVID WILLIAMSON,, ,California,FEMALE,06/15/2014,915.81,GOLD
USR-9365X,Anthony Walker,tammywarrengmail.com, ,fl,M,2025-03-32,-25.0,bronze
CUST-42543,Michael Henry,david39gmail.com,(305)-555-2186,ca,Male,2025-03-32,167.16, Platinum
USR-2271X, kristen jacobs ,walexandergmail.com,(305)-555-8363,new york,FEMALE,2025/01/08,-25.0,Silver 
ACC-37124, steven sanchez ,latoyacastillo@jones-gutierrez.com,(305)-555-7139,ca,male,05/03/2024,,gold
CX-923060,JENNIFER PARKER,brandonrobinson@hotmail.com,3554244282,FL,female,02/19/2020,,bronze
ACC-45669,James Stone,jordan88@gmail,(305)-555-6397,new york,F,2017-05-29,-25.0,Silver 
CUST-61578,Collin Reed,,(305)-555-5570,ca,M,2025-03-32,-25.0,gold
CX-935148,Carolyn Lee,,3050812875,ca,Male,1984-09-19,288.67,bronze
CRM-5560,Kenneth Adkins,tiffany46@gmail.com,(397)156-8988x707,NY,Unknown,2025-14-01,-25.0,gold
USR-6367X,Tonya Brown,,0235137704,Florida,FEMALE,2025-14-01,, Platinum
ACC-75825,Derrick Richards,thaneygmail.com,(588)896-1952x342,NY,Male,2013/03/04,300.31,silver
USR-3105X,Sean Scott,,305.555.4793,FL ,F,2025-03-32,,Gold
ACC-35199,TAMMY BROWN,hawkinsdenise@gmail, ,new york,M,2025-14-01,,Gold
CRM-4506,Billy Rivera,vthompsongmail.com,305.555.3758,Nevada,female,1979-05-24,473.5,Silver 
CRM-8816,DAVID SCHROEDER,NTHOMPSON@YAHOO.COM,305.555.2310,texas,FEMALE,2025-14-01,,gold
CX-724865, megan johnson ,IBRANDT@RUSSO-RIOS.COM,(305)-555-4472,Florida,male,2025-14-01,,GOLD
CUST-19700,Mark Schaefer,joyce68gmail.com, ,FL,FEMALE,2025-14-01,388.63,bronze
USR-2846X,DEREK PERKINS,TAYLORBURNS@YAHOO.COM,1486620744,fl,M,2025-03-32,,Silver 
CUST-79391, john smith ,tammybishop@gmail,(305)-555-7032,new york,Female,2025-14-01,-25.0,GOLD
CUST-87134,Elizabeth Bailey,,904-022-3483x651,California,Male,2025-03-32,,Silver 
CUST-78477,Michael Rivera,,800-760-4043x23586,ca,Male,2025-03-32,-25.0,Gold
ACC-44371,Kristin Wells,jamesgriffin@jackson.com,305.555.3567,Florida,male,02/02/2000,608.0, Platinum
ACC-63171,MARK JAMES,eric83gmail.com, ,fl,FEMALE,11/25/2004,,GOLD
CRM-6666,Leah Barrett,,+1-435-394-3031x3021,FL,M,2025-14-01,,gold
USR-1971X,LAURA MILLER,,305.555.8341,fl,Unknown,02/07/2016,364.01,Silver 
CRM-6683, sierra horne ,,5041269557,NY,Unknown,12/04/1993,921.91,bronze
ACC-52312,Neil Butler,,2072029657,NY,Unknown,1998/05/27,,gold
USR-7915X,Leonard Chambers,brendatanner@gmail, ,Nevada,M,2025-14-01,-25.0,gold
CUST-26825,Anthony Horn,coxbrittany@hotmail.com,305.555.4210,FL ,Male,1988/10/15,,GOLD
CRM-7480, jonathan burgess ,,264-506-7300x56419,texas,M,2025-14-01,,Gold
CX-468091,Cory Brown,,305.555.5692,FL,F,2011-07-18,,Silver 
USR-9286X,JEFFREY YOUNG,,6924811180,California,F,2009/01/20,176.25,Silver 
ACC-88893,Donald Fitzgerald,mcfarlandstephanie@gmail,(305)-555-4336,NY,FEMALE,2023/04/21,,silver
CUST-93391, megan lopez ,, ,ca,female,04/10/2026,221.88,gold
CUST-23681,David Cox,dakotahoward@sanders.org, ,Florida,Unknown,2025-03-32,652.5,Gold
ACC-77363,ROBIN CARPENTER,adrian61@gmail,305.555.2245,ca,F,1989-08-18,,silver
CX-187101,Daniel Wang,smillergmail.com,3593740832,FL ,F,02/13/2019,,Gold
CUST-33309,Stacey Hanson,,305.555.5123,FL ,Unknown,04/07/2019,-25.0,bronze
CRM-1206, jason howell ,ocaingmail.com,305.555.1154,TX,Female,2007-02-16,, Platinum
CRM-1043,Ashlee Miller,scottchristine@gmail.com,305.555.1542,TX,FEMALE,2025-14-01,794.12,bronze
ACC-24044, courtney cline ,,305.555.7195,new york,Female,2025-03-32,-25.0,bronze
ACC-53763,VANESSA HUNTER MD,, ,TX,male,1982/09/14,993.25,Silver 
CRM-5625,Ethan Alvarez,smiles@nicholson.net,8224978541,new york,Unknown,2016/06/13,-25.0,Gold
CX-528235,Maureen Zhang,joannevincentgmail.com,9701454419,texas,Female,2025-03-32,-25.0,gold
ACC-80150,Andrew Porter,xsherman@gmail,305.555.1152,California,Female,04/09/1990,69.97,silver
ACC-42541,Julie Wolfe,jessehammondgmail.com,(305)-555-6070,NY,Male,2024-11-08,,Gold
CX-625981,AMY HARVEY,JONATHANSTRICKLAND@GMAIL.COM,(305)-555-1353,FL,Unknown,2025-14-01,957.24,Gold
CX-561375, christina cole ,,3432104022,FL ,F,2025-03-32,-25.0,gold
USR-6519X,Andrew Zavala,CAMPBELLCYNTHIA@KENNEDY.COM,259.123.7389,FL,M,2006/05/28,46.83,bronze
ACC-55338,DAVID WILLIAMSON,, ,California,FEMALE,06/15/2014,915.81,GOLD
CUST-29758,Elizabeth Johnson,stevenrobinson@robinson-davila.com, ,NY,FEMALE,2025/12/05,, Platinum
CRM-9465, jason chase ,rodriguezanthony@yahoo.com,(305)-555-4305,ca,FEMALE,2022-10-25,,silver
CUST-50583,Angela Robinson,cory32@bauer.com,(251)237-5183x85347,California,female,2025-03-32,84.16,Gold
CX-340333,David Ashley,RALPH42@CONLEY.INFO,305.555.5125,texas,Unknown,2025-14-01,-25.0,silver
CUST-33309,Stacey Hanson,,305.555.5123,FL ,Unknown,04/07/2019,-25.0,bronze
CUST-87134,Elizabeth Bailey,,904-022-3483x651,California,Male,2025-03-32,,Silver 
ACC-42230, william anderson ,leechristophergmail.com,952-357-6943,TX,F,1989/07/13,,Gold
ACC-44371,Kristin Wells,jamesgriffin@jackson.com,305.555.3567,Florida,male,02/02/2000,608.0, Platinum
USR-1029X, isabel hancock ,gsullivan@hotmail.com,(305)-555-3098,FL,Unknown,2025-14-01,,Gold
ACC-75846,James Rios,richardwrightgmail.com,1641705167,California,Female,2025-03-32,,bronze
CX-497235, kelly dodson ,,(305)-555-5505,texas,female,2025-03-32,,bronze
ACC-80215,Ryan Pace,smithjoshua@gmail, ,TX,F,2007/12/09,995.42,GOLD
CRM-9903, pamela acevedo ,davisandregmail.com,305.555.8803,FL ,Male,2006/11/08,,gold
CX-787730,John Valenzuela,johncalhoun@yahoo.com,305.555.6571,fl,Male,2025-14-01,,Silver 
USR-4312X,HEATHER BIRD,, ,Florida,female,2002-10-28,191.6,gold
USR-5308X, heather thomas ,lvargasgmail.com,(305)-555-5735,California,FEMALE,03/24/2026,-25.0,bronze
ACC-40448, adrienne butler ,WILKINSONCHRISTINA@HOTMAIL.COM,(305)-555-7585,FL ,Female,2025-03-32,,bronze
USR-9036X,Laura Thompson,,305.555.8134,Nevada,male,12/21/1977,, Platinum
ACC-42541,Julie Wolfe,jessehammondgmail.com,(305)-555-6070,NY,Male,2024-11-08,,Gold
